name,name_lower,status,pick,college,br_profile_url,draft_year
"Terry, Tyrell","terry, tyrell",drafted,21.0,Stanford,https://www.basketball-reference.com/players/t/terryty01.html,2020
"Stanley, Cassius","stanley, cassius",drafted,54.0,Duke,https://www.basketball-reference.com/players/s/stanlca01.html,2020
"Bouknight, James","bouknight, james",drafted,11.0,Connecticut,https://www.basketball-reference.com/players/b/bouknja01.html,2021
"Moore, Wendell","moore, wendell",drafted,26.0,Duke,,
"Liddell, E.J.","liddell, e.j.",drafted,41.0,Ohio St.,https://www.basketball-reference.com/players/l/liddeej01.html,2022
"Sasser, Marcus","sasser, marcus",drafted,25.0,Houston,https://www.basketball-reference.com/players/s/sassema01.html,2023
"Wagner, Franz","wagner, franz",drafted,8.0,Michigan,https://www.basketball-reference.com/players/w/wagnefr01.html,2021
"Edwards, Anthony","edwards, anthony",drafted,1.0,Georgia,https://www.basketball-reference.com/players/e/edwaran01.html,2020
"Maxey, Tyrese","maxey, tyrese",drafted,17.0,Kentucky,https://www.basketball-reference.com/players/m/maxeyty01.html,2020
"Jaquez Jr., Jaime","jaquez jr., jaime",drafted,18.0,UCLA,https://www.basketball-reference.com/players/j/jaqueja01.html,2023
"Johnson, David","johnson, david",drafted,47.0,Louisville,https://www.basketball-reference.com/players/j/johnsda08.html,2021
"McDaniels, Jaden","mcdaniels, jaden",drafted,28.0,Washington,https://www.basketball-reference.com/players/m/mcdanja02.html,2020
"Lewis, Scottie","lewis, scottie",drafted,56.0,Florida,https://www.basketball-reference.com/players/l/lewissc01.html,2021
"Tyson, Hunter","tyson, hunter",drafted,37.0,Clemson,https://www.basketball-reference.com/players/t/tysonhu01.html,2023
"Jones, Kai","jones, kai",drafted,19.0,Texas,https://www.basketball-reference.com/players/j/joneska01.html,2021
"Lundy, Seth","lundy, seth",drafted,46.0,Penn St.,https://www.basketball-reference.com/players/l/lundyse01.html,2023
"Brown, Kobe","brown, kobe",drafted,30.0,Missouri,https://www.basketball-reference.com/players/b/brownko01.html,2023
"Wong, Isaiah","wong, isaiah",drafted,55.0,Miami FL,https://www.basketball-reference.com/players/w/wongis01.html,2023
"Mobley, Isaiah","mobley, isaiah",drafted,49.0,USC,https://www.basketball-reference.com/players/m/mobleis01.html,2022
"Camara, Toumani","camara, toumani",drafted,52.0,Georgia,https://www.basketball-reference.com/players/c/camarto01.html,2023
"Mann, Tre","mann, tre",drafted,18.0,Florida,https://www.basketball-reference.com/players/m/manntr01.html,2021
"Mobley, Evan","mobley, evan",drafted,3.0,USC,https://www.basketball-reference.com/players/m/mobleev01.html,2021
"Murphy III, Trey","murphy iii, trey",drafted,17.0,Virginia,https://www.basketball-reference.com/players/m/murphtr02.html,2021
"Jackson, Isaiah","jackson, isaiah",drafted,22.0,Kentucky,https://www.basketball-reference.com/players/j/jacksis01.html,2021
"Cooper, Sharife","cooper, sharife",drafted,48.0,Auburn,https://www.basketball-reference.com/players/c/coopesh01.html,2021
"Moody, Moses","moody, moses",drafted,14.0,Arkansas,https://www.basketball-reference.com/players/m/moodymo01.html,2021
"Suggs, Jalen","suggs, jalen",drafted,5.0,Gonzaga,https://www.basketball-reference.com/players/s/suggsja01.html,2021
"Walker, Jabari","walker, jabari",drafted,57.0,Colorado,https://www.basketball-reference.com/players/w/walkeja01.html,2022
"Barnes, Scottie","barnes, scottie",drafted,4.0,Florida St.,https://www.basketball-reference.com/players/b/barnesc01.html,2021
"Thomas, Cameron","thomas, cameron",drafted,27.0,LSU,,
"Springer, Jaden","springer, jaden",drafted,28.0,Tennessee,https://www.basketball-reference.com/players/s/sprinja01.html,2021
"Mathurin, Bennedict","mathurin, bennedict",drafted,6.0,Arizona,https://www.basketball-reference.com/players/m/mathube01.html,2022
"Davis, Jonathan","davis, jonathan",drafted,10.0,Wisconsin,,
"Wilson, Jalen","wilson, jalen",drafted,51.0,Kansas,https://www.basketball-reference.com/players/w/wilsoja03.html,2023
"Cunningham, Cade","cunningham, cade",drafted,1.0,Oklahoma St.,https://www.basketball-reference.com/players/c/cunnica01.html,2021
"Koloko, Christian","koloko, christian",drafted,33.0,Arizona,https://www.basketball-reference.com/players/k/kolokch01.html,2022
"Murray, Keegan","murray, keegan",drafted,4.0,Iowa,https://www.basketball-reference.com/players/m/murrake02.html,2022
"Sharpe, Day'Ron","sharpe, day'ron",drafted,29.0,North Carolina,https://www.basketball-reference.com/players/s/sharpda01.html,2021
"Williams, Mark","williams, mark",drafted,15.0,Duke,https://www.basketball-reference.com/players/w/willima07.html,2022
"Eason, Tari","eason, tari",drafted,17.0,Cincinnati,https://www.basketball-reference.com/players/e/easonta01.html,2022
"Brown, Greg","brown, greg",drafted,43.0,Texas,,
"Williams, Jaylin","williams, jaylin",drafted,34.0,Arkansas,https://www.basketball-reference.com/players/w/willija07.html,2022
"Primo, Joshua","primo, joshua",drafted,12.0,Alabama,https://www.basketball-reference.com/players/p/primojo01.html,2021
"Moore Jr., Wendell","moore jr., wendell",drafted,26.0,Duke,https://www.basketball-reference.com/players/m/moorewe01.html,2022
"Terry, Dalen","terry, dalen",drafted,18.0,Arizona,https://www.basketball-reference.com/players/t/terryda01.html,2022
"Jones, Colby","jones, colby",drafted,34.0,Xavier,https://www.basketball-reference.com/players/j/jonesco02.html,2023
"Williams, Ziaire","williams, ziaire",drafted,10.0,Stanford,https://www.basketball-reference.com/players/w/willizi02.html,2021
"Ivey, Jaden","ivey, jaden",drafted,5.0,Purdue,https://www.basketball-reference.com/players/i/iveyja01.html,2022
"Johnson, Keon","johnson, keon",drafted,21.0,Tennessee,https://www.basketball-reference.com/players/j/johnske07.html,2021
"Boston Jr., Brandon","boston jr., brandon",drafted,51.0,Kentucky,https://www.basketball-reference.com/players/b/bostobr01.html,2021
"Christopher, Josh","christopher, josh",drafted,24.0,Arizona St.,https://www.basketball-reference.com/players/c/chrisjo01.html,2021
"Johnson, Jalen","johnson, jalen",drafted,20.0,Duke,https://www.basketball-reference.com/players/j/johnsja05.html,2021
"Banton, Dalano","banton, dalano",drafted,46.0,Nebraska,https://www.basketball-reference.com/players/b/bantoda01.html,2021
"Thor, JT","thor, jt",drafted,37.0,Auburn,https://www.basketball-reference.com/players/t/thorjt01.html,2021
"Jackson, Andre","jackson, andre",drafted,36.0,Connecticut,,
"Bassey, Charles","bassey, charles",drafted,53.0,Western Kentucky,https://www.basketball-reference.com/players/b/bassech01.html,2021
"Roddy, David","roddy, david",drafted,23.0,Colorado St.,https://www.basketball-reference.com/players/r/roddyda01.html,2022
"Preston, Jason","preston, jason",drafted,33.0,Ohio,https://www.basketball-reference.com/players/p/prestja01.html,2021
"Edwards, Kessler","edwards, kessler",drafted,44.0,Pepperdine,https://www.basketball-reference.com/players/e/edwarke02.html,2021
"LaRavia, Jake","laravia, jake",drafted,19.0,Indiana St.,https://www.basketball-reference.com/players/l/laravja01.html,2022
"Rollins, Ryan","rollins, ryan",drafted,44.0,Toledo,https://www.basketball-reference.com/players/r/rolliry01.html,2022
"Williams, Jalen","williams, jalen",drafted,12.0,Santa Clara,https://www.basketball-reference.com/players/w/willija06.html,2022
"Aldama, Santi","aldama, santi",drafted,30.0,Loyola MD,https://www.basketball-reference.com/players/a/aldamsa01.html,2021
"Sheppard, Ben","sheppard, ben",drafted,26.0,Belmont,https://www.basketball-reference.com/players/s/sheppbe01.html,2023
"Slawson, Jalen","slawson, jalen",drafted,54.0,Furman,https://www.basketball-reference.com/players/s/slawsja01.html,2023
"Holmgren, Chet","holmgren, chet",drafted,2.0,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01.html,2022
"Chandler, Kennedy","chandler, kennedy",drafted,38.0,Tennessee,https://www.basketball-reference.com/players/c/chandke01.html,2022
"Smith, Jabari","smith, jabari",drafted,3.0,Auburn,,
"Kessler, Walker","kessler, walker",drafted,22.0,Auburn,https://www.basketball-reference.com/players/k/kesslwa01.html,2022
"Banchero, Paolo","banchero, paolo",drafted,1.0,Duke,https://www.basketball-reference.com/players/b/banchpa01.html,2022
"Strawther, Julian","strawther, julian",drafted,29.0,Gonzaga,https://www.basketball-reference.com/players/s/strawju01.html,2023
"Washington Jr., TyTy","washington jr., tyty",drafted,29.0,Kentucky,https://www.basketball-reference.com/players/w/washity02.html,2022
"Clark, Jaylen","clark, jaylen",drafted,53.0,UCLA,https://www.basketball-reference.com/players/c/clarkja02.html,2023
"Murray, Kris","murray, kris",drafted,23.0,Iowa,https://www.basketball-reference.com/players/m/murrakr01.html,2023
"Sochan, Jeremy","sochan, jeremy",drafted,9.0,Baylor,https://www.basketball-reference.com/players/s/sochaje01.html,2022
"Griffin, AJ","griffin, aj",drafted,16.0,Duke,https://www.basketball-reference.com/players/g/griffaj01.html,2022
"Keels, Trevor","keels, trevor",drafted,42.0,Duke,https://www.basketball-reference.com/players/k/keelstr01.html,2022
"Davis, Johnny","davis, johnny",drafted,10.0,Wisconsin,https://www.basketball-reference.com/players/d/davisjo06.html,2022
"Duren, Jalen","duren, jalen",drafted,13.0,Memphis,https://www.basketball-reference.com/players/d/durenja01.html,2022
"Branham, Malaki","branham, malaki",drafted,20.0,Ohio St.,https://www.basketball-reference.com/players/b/branhma01.html,2022
"Brown, Kendall","brown, kendall",drafted,48.0,Baylor,https://www.basketball-reference.com/players/b/brownke03.html,2022
"Pickett, Jalen","pickett, jalen",drafted,32.0,Penn St.,https://www.basketball-reference.com/players/p/pickeja02.html,2023
"Davison, JD","davison, jd",drafted,53.0,Alabama,https://www.basketball-reference.com/players/d/davisjd01.html,2022
"Prosper, Olivier-Maxence","prosper, olivier-maxence",drafted,24.0,Marquette,https://www.basketball-reference.com/players/p/prospol01.html,2023
"McGowens, Bryce","mcgowens, bryce",drafted,40.0,Nebraska,https://www.basketball-reference.com/players/m/mcgowbr01.html,2022
"Minott, Josh","minott, josh",drafted,45.0,Memphis,https://www.basketball-reference.com/players/m/minotjo01.html,2022
"Bates, Emoni","bates, emoni",drafted,49.0,Memphis,https://www.basketball-reference.com/players/b/batesem01.html,2023
"Houstan, Caleb","houstan, caleb",drafted,32.0,Michigan,https://www.basketball-reference.com/players/h/houstca01.html,2022
"Christie, Max","christie, max",drafted,35.0,Michigan St.,https://www.basketball-reference.com/players/c/chrisma02.html,2022
"Diabate, Moussa","diabate, moussa",drafted,43.0,Michigan,https://www.basketball-reference.com/players/d/diabamo01.html,2022
"Wesley, Blake","wesley, blake",drafted,25.0,Notre Dame,https://www.basketball-reference.com/players/w/weslebl01.html,2022
"Gueye, Mouhamed","gueye, mouhamed",drafted,39.0,Washington St.,https://www.basketball-reference.com/players/g/gueyemo02.html,2023
"Watson, Peyton","watson, peyton",drafted,30.0,UCLA,https://www.basketball-reference.com/players/w/watsope01.html,2022
"Hawkins, Jordan","hawkins, jordan",drafted,14.0,Connecticut,https://www.basketball-reference.com/players/h/hawkijo01.html,2023
"Lewis, Maxwell","lewis, maxwell",drafted,40.0,Pepperdine,https://www.basketball-reference.com/players/l/lewisma05.html,2023
"Baldwin, Jr., Patrick","baldwin, jr., patrick",drafted,28.0,Milwaukee,,
"Miller, Brandon","miller, brandon",drafted,2.0,Alabama,https://www.basketball-reference.com/players/m/millebr02.html,2023
"Dick, Gradey","dick, gradey",drafted,13.0,Kansas,https://www.basketball-reference.com/players/d/dickgr01.html,2023
"Phillips, Julian","phillips, julian",drafted,35.0,Tennessee,https://www.basketball-reference.com/players/p/phillju01.html,2023
"Bufkin, Kobe","bufkin, kobe",drafted,15.0,Michigan,https://www.basketball-reference.com/players/b/bufkiko01.html,2023
"Jackson Jr., Andre","jackson jr., andre",drafted,36.0,Connecticut,https://www.basketball-reference.com/players/j/jacksan01.html,2023
"Black, Anthony","black, anthony",drafted,6.0,Arkansas,https://www.basketball-reference.com/players/b/blackan01.html,2023
"Clowney, Noah","clowney, noah",drafted,21.0,Alabama,https://www.basketball-reference.com/players/c/clownno01.html,2023
"Lively II, Dereck","lively ii, dereck",drafted,12.0,Duke,https://www.basketball-reference.com/players/l/livelde01.html,2023
"Walsh, Jordan","walsh, jordan",drafted,38.0,Arkansas,https://www.basketball-reference.com/players/w/walshjo01.html,2023
"Sensabaugh, Brice","sensabaugh, brice",drafted,28.0,Ohio St.,https://www.basketball-reference.com/players/s/sensabr01.html,2023
"George, Keyonte","george, keyonte",drafted,16.0,Baylor,https://www.basketball-reference.com/players/g/georgke01.html,2023
"Hood-Schifino, Jalen","hood-schifino, jalen",drafted,17.0,Indiana,https://www.basketball-reference.com/players/h/hoodsja01.html,2023
"Wallace, Cason","wallace, cason",drafted,10.0,Kentucky,https://www.basketball-reference.com/players/w/wallaca01.html,2023
"Whitmore, Cam","whitmore, cam",drafted,20.0,Villanova,https://www.basketball-reference.com/players/w/whitmca01.html,2023
"Bailey, Amari","bailey, amari",drafted,41.0,UCLA,https://www.basketball-reference.com/players/b/baileam01.html,2023
"Livingston, Chris","livingston, chris",drafted,58.0,Kentucky,https://www.basketball-reference.com/players/l/livinch01.html,2023
"Howard, Jett","howard, jett",drafted,11.0,Michigan,https://www.basketball-reference.com/players/h/howarje01.html,2023
"Smith Jr., Nick","smith jr., nick",drafted,27.0,Arkansas,https://www.basketball-reference.com/players/s/smithni01.html,2023
"Whitehead, Dariq","whitehead, dariq",drafted,22.0,Duke,https://www.basketball-reference.com/players/w/whiteda01.html,2023
"Jackson II, Gregory ""GG""","jackson ii, gregory ""gg""",drafted,45.0,South Carolina,,
"Podziemski, Brandin","podziemski, brandin",drafted,19.0,Santa Clara,https://www.basketball-reference.com/players/p/podzibr01.html,2023
"Hendricks, Taylor","hendricks, taylor",drafted,9.0,UCF,https://www.basketball-reference.com/players/h/hendrta01.html,2023
"Walker, Jarace","walker, jarace",drafted,8.0,Houston,https://www.basketball-reference.com/players/w/walkeja02.html,2023
Bojan Dubljevic,bojan dubljevic,drafted,59.0,BUD,https://www.basketball-reference.com/players/d/dubljbo01.html,2013
Luka Mitrovic,luka mitrovic,drafted,60.0,SWIS,https://www.basketball-reference.com/players/m/mitrolu01.html,2015
Nemanja Dangubic,nemanja dangubic,drafted,54.0,SWIS,https://www.basketball-reference.com/players/d/dangune01.html,2014
Nemanja Nedovic,nemanja nedovic,drafted,30.0,ZVE,https://www.basketball-reference.com/players/n/nedovne01.html,2013
Tomislav Zubcic,tomislav zubcic,drafted,56.0,CIB,https://www.basketball-reference.com/players/z/zubcito01.html,2012
Bogdan Bogdanovic,bogdan bogdanovic,drafted,27.0,PAR,https://www.basketball-reference.com/players/b/bogdabo01.html,2014
Alpha Kaba,alpha kaba,drafted,60.0,MEG,https://www.basketball-reference.com/players/k/kabaal01.html,2017
Jonah Bolden,jonah bolden,drafted,36.0,FMP,https://www.basketball-reference.com/players/b/boldejo01.html,2017
Ognjen Jaramaz,ognjen jaramaz,drafted,58.0,MEG,https://www.basketball-reference.com/players/j/jaramog01.html,2017
